Aba, Kız
Yurday, Kız
Yurtsay, Kız
Zafire, Kız
Zahide, Kız
Zahire, Kız
Zaide, Kız
Zaika, Kız
Zakire, Kız
Zambak, Kız
Zamire, Kız
Zarife, Kız
Zatinur, Kız
Zatiye, Kız
Zehra, Kız
Zeliha, Kız
Zennişan, Kız
Zerafet, Kız
Zerefşan, Kız
Zeria, Kız
Zernişan, Kız
Zerrintaç, Kız
Ziba  , Kız
Zican, Kız
Ziyafet, Kız
Zuhal, Kız
Zühal, Kız
Züleyha, Kız
Zülfibar, Kız
Zülfiyar, Kız
Zülfizar, Kız
Zülfübar, Kız
Zülfüyar, Kız
Zülfüzar, Kız
Zümra, Kız
Bâhire, Kız
Beder, Kız
Bedihe, Kız
Bedis, Kız
Bedriye, Kız
Begim, Kız
Begüm, Kız
Behice, Kız
Behin, Kız
Behire, Kız
Behiye, Kız
Beken, Kız
Belgi, Kız
Belgin, Kız
Belik, Kız
Belin, Kız
Beliz, Kız
Belkıs, Kız
Belmen, Kız
Benek, Kız
Benevşe, Kız
Bengigül, Kız
Bengül, Kız
Benice, Kız
Benli, Kız
Benligül, Kız
Bennur, Kız
Bensu, Kız
Berceste, Kız
Bercis, Kız
Berfu, Kız
Beriye, Kız
Berkiye, Kız
Bermude, Kız
Berrin, Kız
Berşe, Kız
Besime, Kız
Beste, Kız
Bestegül, Kız
Beşgül, Kız
Beşire, Kız
Betigül, Kız
Betil, Kız
Betül, Kız
Beylem, Kız
Beysun, Kız
Bezek, Kız
Bezen, Kız
Bezmiâlem, Kız
Bige, Kız
Bigüm, Kız
Bihin, Kız
Bihine, Kız
Bihter, Kız
Bihterin, Kız
Bike, Kız
Bilgenur, Kız
Bilginur, Kız
Bilgiser, Kız
Bilgün, Kız
Biliş, Kız
Billûr, Kız
Bilsev, Kız
Bilsin, Kız
Bingül, Kız
Bingün, Kız
Biniz, Kız
Binzet, Kız
Birben, Kız
Birbenek, Kız
Birçek, Kız
Birgen, Kız
Birgül, Kız
Birgün, Kız
Biricik, Kız
Birim, Kız
Birke, Kız
Birnur, Kız
Birtek, Kız
Bitengül, Kız
Boncuk, Kız
Bozçin, Kız
Böğürtlen, Kız
Bugül, Kız
Buket, Kız
Burcu, Kız
Buse, Kız
Bülbül, Kız
Bürçin, Kız
Bürgü, Kız
Bürümcek, Kız
Büte, Kız
Çitlembik, Kız
Dilbent, Kız
Dilber, Kız
Dilbeste, Kız
Dilbu, Kız
Dudubikem, Kız
Ebru, Kız
Edibe, Kız
Elbirle, Kız
Elbirlik, Kız
Erdibike, Kız
Erdibikem, Kız
Eribe, Kız
Feribe, Kız
Gökben, Kız
Gurbet, Kız
Gülbeden, Kız
Gülben, Kız
Gülbende, Kız
Gülbeniz, Kız
Gülberk, Kız
Gülbeşeker, Kız
Gülbike, Kız
Gülbikem, Kız
Gülbil, Kız
Gülbin, Kız
Gülbitti, Kız
Gülbiz, Kız
Gülboy, Kız
Gülbu, Kız
Gülbün, Kız
Gülbüz, Kız
Gülebetin, Kız
Gülengübin, Kız
Gülpembe, Kız
Işınbike, Kız
İbili, Kız
İçimbike, Kız
İlbike, Kız
İsenbike, Kız
Kâtibe, Kız
Kebire, Kız
Kebuter, Kız
Kelebek, Kız
Kiçkinebike, Kız
Kutbiye, Kız
Lebibe, Kız
Lebriz, Kız
Mebruke, Kız
Mebrure, Kız
Mebuse, Kız
Mergube, Kız
Mevhibe, Kız
Muhibbe, Kız
Mukbile, Kız
Mübeccel, Kız
Mübeyyen, Kız
Mübine, Kız
Mühibe, Kız
Münibe, Kız
Nebihe, Kız
Nebile, Kız
Nebiye, Kız
Necibe, Kız
Nesibe, Kız
Nevber, Kız
Nilberk, Kız
Nuhbe, Kız
Nurben, Kız
Nurbige, Kız
Pembe, Kız
Pembegül, Kız
Rebiyye, Kız
Sebile, Kız
Seblâ, Kız
Sebu, Kız
Sibel, Kız
Simber, Kız
Subhiye, Kız
Sulbiye, Kız
Sülünbike, Kız
Sümbül, Kız
Sümbülveş, Kız
Sünbüle, Kız
Şebnem, Kız
Şebnur, Kız
Şekibe, Kız
Şerbet, Kız
Şirinbegim, Kız
Şirinbige, Kız
Teberrük, Kız
Tebessüm, Kız
Tilbe, Kız
Tolunbike, Kız
Ubeyde, Kız
Usunbike, Kız
Übeyde, Kız
Übük, Kız
Vecibe, Kız
Vehbiye, Kız
Zebercet, Kız
Zübeyde, Kız
Cedide, Kız
Celile, Kız
Cemile, Kız
Ceminur, Kız
Cennet, Kız
Ceren, Kız
Cevriye, Kız
Ceylân, Kız
Cilvekâr, Kız
Cudiye, Kız
Dicle, Kız
Domurcuk, Kız
Ecegül, Kız
Ecenur, Kız
Evecen, Kız
Fecir, Kız
Fecriye, Kız
Gelincik, Kız
Gonce, Kız
Gülce, Kız
Gülece, Kız
Gülinci, Kız
Güvercin, Kız
Güzelce, Kız
Huceste, Kız
Hüceste, Kız
İclâl, Kız
İmece, Kız
İnci, Kız
İnciden, Kız
İncifem, Kız
İncifer, Kız
İncigül, Kız
İncilâ, Kız
İncilây, Kız
İncinur, Kız
İncisel, Kız
İnciser, Kız
Mecide, Kız
Mehcure, Kız
Mevcude, Kız
Mucide, Kız
Mucize, Kız
Müceddet, Kız
Mücellâ, Kız
Mücessem, Kız
Mücevher, Kız
Münciye, Kız
Necile, Kız
Neclâ, Kız
Necmiye, Kız
Necve, Kız
Netice, Kız
Ticen, Kız
Tomurcuk, Kız
Vechiye, Kız
Vecihe, Kız
Yücenur, Kız
Çeyiz, Kız
Çiçek, Kız
Çiğdem, Kız
Çilek, Kız
Çilen, Kız
Çilenti, Kız
Çiler, Kız
Çimen, Kız
Çisen, Kız
Çisil, Kız
Elçim, Kız
Erçil, Kız
Göğünç, Kız
Gökçem, Kız
Gözenç, Kız
Gülçe, Kız
Gülçehre, Kız
Gülçiçek, Kız
Gülçimen, Kız
Gülçin, Kız
Gülçün, Kız
Günçiçeği, Kız
Günçiçek, Kız
İçim, Kız
Kırçiçek, Kız
Konçuy, Kız
Nurçin, Kız
Övgünç, Kız
Perçem, Kız
Periçehre, Kız
Pürçek, Kız
Seçgül, Kız
Seçik, Kız
Seçil, Kız
Tuğçe, Kız
Üçgül, Kız
Define, Kız
Defne, Kız
Demet, Kız
Demhoş, Kız
Deste, Kız
Destegül, Kız
Didem, Kız
Dilâ, Kız
Dilân, Kız
Dilâşup, Kız
Dilderen, Kız
Dilefruz, Kız
Dilege, Kız
Dilek, Kız
Dilem, Kız
Dilfigâr, Kız
Dilfiruz, Kız
Dilhun, Kız
Dilhuş, Kız
Dilnişin, Kız
Dilnur, Kız
Dilsuz, Kız
Dilşen, Kız
Dilşikâr, Kız
Döndü, Kız
Döne, Kız
Dönüş, Kız
Dudu, Kız
Duhter, Kız
Durkız, Kız
Dursune, Kız
Durugül, Kız
Duşize, Kız
Duygun, Kız
Düri, Kız
Düriye, Kız
Dürnev, Kız
Edis, Kız
Evdegül, Kız
Ferdiye, Kız
Ferhunde, Kız
Feride, Kız
Fermude, Kız
Fide, Kız
Firdevs, Kız
Füruzende, Kız
Gönülden, Kız
Gözde, Kız
Güldeğer, Kız
Güldehen, Kız
Güldem, Kız
Güldemet, Kız
Gülden, Kız
Güldeniz, Kız
Güldenur, Kız
Gülder, Kız
Gülderen, Kız
Güldermiş, Kız
Güldeste, Kız
Güldilek, Kız
Güldöne, Kız
Güldüren, Kız
Gülender, Kız
Gülfide, Kız
Güzide, Kız
Hediye, Kız
Hurşide, Kız
İdil, Kız
İlden, Kız
Jülide, Kız
Kudsiye, Kız
Medide, Kız
Medine, Kız
Mehdiye, Kız
Melodi, Kız
Mesude, Kız
Mevlide, Kız
Mevlûde, Kız
Mevlüde, Kız
Mezide, Kız
Müdrike, Kız
Müeddep, Kız
Müfide, Kız
Müjde, Kız
Müride, Kız
Mürşide, Kız
Müveddet, Kız
Nedime, Kız
Neşide, Kız
Nevide, Kız
Nurdide, Kız
Nurdil, Kız
Nurdoğdu, Kız
Nurfide, Kız
Nüvide, Kız
Orkide, Kız
Özderen, Kız
Pekdeğer, Kız
Peride, Kız
Remide, Kız
Reside, Kız
Reşide, Kız
Rüveyde, Kız
Rüvide, Kız
Sedef, Kız
Seden, Kız
Serdil, Kız
Sevde, Kız
Sevdiye, Kız
Seyyide, Kız
Sıdkıye, Kız
Sidre, Kız
Simden, Kız
Sude, Kız
Sudiye, Kız
Suzidil, Kız
Sündüs, Kız
Süveyde, Kız
Şendeniz, Kız
Şendil, Kız
Şermende, Kız
Şevkidil, Kız
Tevhide, Kız
Vedide, Kız
Velide, Kız
Yârıdil, Kız
Yediveren, Kız
Yıldıku, Kız
Yıldız, Kız
Yurdum, Kız
Âsiye, Kız
Âtike, Kız
Âtiye, Kız
Âzime, Kız
Efsun, Kız
Egenur, Kız
Ehil, Kız
Elâ, Kız
Elânur, Kız
Elif, Kız
Elife, Kız
Elik, Kız
Emel, Kız
Emine, Kız
Emoş, Kız
Emriye, Kız
Enfes, Kız
Enise, Kız
Erengül, Kız
Erengün, Kız
Erge, Kız
Ergem, Kız
Erişen, Kız
Ermiye, Kız
Ervin, Kız
Esengül, Kız
Esengün, Kız
Esergül, Kız
Esmer, Kız
Eşe, Kız
Eşim, Kız
Eşin, Kız
Etik, Kız
Etike, Kız
Evin, Kız
Evnur, Kız
Ezelî, Kız
Ezgi, Kız
Ezgin, Kız
Fâkihe, Kız
Fehime, Kız
Fehmiye, Kız
Fenniye, Kız
Fergün, Kız
Feri, Kız
Feriser, Kız
Ferişte, Kız
Fernur, Kız
Feruze, Kız
Ferve, Kız
Fethiye, Kız
Fevziye, Kız
Feyziye, Kız
Figen, Kız
Fikriye, Kız
Firuze, Kız
Fügen, Kız
Gelengül, Kız
Gelin, Kız
Gelinkız, Kız
Gevher, Kız
Gezer, Kız
Gizem, Kız
Gökperi, Kız
Gökselen, Kız
Gölge, Kız
Görez, Kız
Görsev, Kız
Gövem, Kız
Göze, Kız
Gözlem, Kız
Güfte, Kız
Güher, Kız
Gülâfet, Kız
Gülâver, Kız
Gülen, Kız
Gülengül, Kız
Gülennur, Kız
Güler, Kız
Güleren, Kız
Gülersin, Kız
Gülesen, Kız
Güleser, Kız
Gülesin, Kız
Gülev, Kız
Gülfem, Kız
Gülfer, Kız
Gülgen, Kız
Gülgez, Kız
Gülgûne, Kız
Gülgüney, Kız
Gülgüzel, Kız
Gülipek, Kız
Gülneşe, Kız
Gülören, Kız
Gülözer, Kız
Gülperi, Kız
Gülrenk, Kız
Gülsel, Kız
Gülseli, Kız
Gülselin, Kız
Gülsemin, Kız
Gülsen, Kız
Gülser, Kız
Gülseren, Kız
Gülserim, Kız
Gülsev, Kız
Gülseven, Kız
Gülsever, Kız
Gülsevi, Kız
Gülsevil, Kız
Gülsevin, Kız
Gülsezer, Kız
Gülsezin, Kız
Gülsinem, Kız
Gülsüme, Kız
Gülşehri, Kız
Gülşeker, Kız
Gülşen, Kız
Gülşeref, Kız
Gülşerif, Kız
Gülten, Kız
Gülter, Kız
Gülümser, Kız
Gülümşen, Kız
Gülver, Kız
Gülveren, Kız
Gülzemin, Kız
Günerim, Kız
Günfer, Kız
Günseli, Kız
Günsenin, Kız
Günseren, Kız
Günten, Kız
Gürel, Kız
Gürselin, Kız
Gürsen, Kız
Gürses, Kız
Gürsev, Kız
Gürsevil, Kız
Gürşen, Kız
Gürten, Kız
Güze, Kız
Güzel, Kız
Güzey, Kız
Hâkime, Kız
Hepgül, Kız
Hepşen, Kız
Heves, Kız
Hıfziye, Kız
Hilmiye, Kız
Hoşsel, Kız
Hoşsen, Kız
Hoşses, Kız
Hoşten, Kız
Hulkiye, Kız
Hurisel, Kız
Huriser, Kız
Huriye, Kız
Hurrem, Kız
Hükmiye, Kız
Hürrem, Kız
Hürsen, Kız
Hürşen, Kız
Hüsne, Kız
Hüsniye, Kız
Hüsnügüzel, Kız
Hüsnüye, Kız
İlksel, Kız
İlksen, Kız
İlksev, Kız
İlkşen, Kız
İlmiye, Kız
İlşen, Kız
İme, Kız
İmge, Kız
İpek, Kız
İpekel, Kız
İpekten, Kız
İrem, Kız
İsen, Kız
İsenkutluğ, Kız
İşvekâr, Kız
İzel, Kız
Kâmile, Kız
Kâşife, Kız
Kâzime, Kız
Kekik, Kız
Keklik, Kız
Kerime, Kız
Keşfiye, Kız
Kevser, Kız
Kıymet, Kız
Körpe, Kız
Kösem, Kız
Kumriye, Kız
Kutsel, Kız
Kutseli, Kız
Lâle, Kız
Lâlegül, Kız
Lâleruh, Kız
Lâmiye, Kız
Lâtife, Kız
Lemiye, Kız
Lerze, Kız
Lerziş, Kız
Leylâ, Kız
Leylâgül, Kız
Leyli, Kız
Leylifer, Kız
Leylüfer, Kız
Leziz, Kız
Lezize, Kız
Lütfiye, Kız
Mefkûre, Kız
Meftune, Kız
Mehir, Kız
Mehru, Kız
Mehtiye, Kız
Mehveş, Kız
Melek, Kız
Meleknur, Kız
Melekper, Kız
Melekru, Kız
Melike, Kız
Melis, Kız
Meliz, Kız
Meltem, Kız
Memnune, Kız
Menekşe, Kız
Menevşe, Kız
Mengli, Kız
Mengûş, Kız
Mensure, Kız
Menşure, Kız
Menzure, Kız
Merve, Kız
Meryem, Kız
Merziye, Kız
Meserret, Kız
Mesrure, Kız
Mesture, Kız
Mesure, Kız
Meşkûre, Kız
Methiye, Kız
Metine, Kız
Mevsim, Kız
Mevzune, Kız
Meyil, Kız
Meymune, Kız
Meziyet, Kız
Mihine, Kız
Mihriye, Kız
Mine, Kız
Minnet, Kız
Muhlise, Kız
Muhsine, Kız
Muine, Kız
Mukime, Kız
Munise, Kız
Muslihe, Kız
Müge, Kız
Mükevven, Kız
Mükrime, Kız
Mülhime, Kız
Mümine, Kız
Münevver, Kız
Münife, Kız
Münime, Kız
Münire, Kız
Mürüvvet, Kız
Müsevver, Kız
Müslime, Kız
Müslüme, Kız
Müstenire, Kız
Müşküle, Kız
Müyesser, Kız
Müzehher, Kız
Müzeyyen, Kız
Nefise, Kız
Nehir, Kız
Nehire, Kız
Nejlâ, Kız
Neptün, Kız
Nergis, Kız
Nergise, Kız
Nermin, Kız
Nesime, Kız
Nesli, Kız
Nesligül, Kız
Nesrin, Kız
Nesteren, Kız
Neşe, Kız
Neşegül, Kız
Neşem, Kız
Neşenur, Kız
Neşever, Kız
Neşve, Kız
Neveser, Kız
Nevgül, Kız
Nevhiz, Kız
Nevin, Kız
Nevinur, Kız
Nevir, Kız
Nevreste, Kız
Nevriye, Kız
Neyire, Kız
Neyyire, Kız
Nezihe, Kız
Nezire, Kız
Nilüfer, Kız
Niyet, Kız
Nurâlem, Kız
Nurfer, Kız
Nuriye, Kız
Nurmelek, Kız
Nurper, Kız
Nurperi, Kız
Nurselen, Kız
Nurseli, Kız
Nursen, Kız
Nursenin, Kız
Nurser, Kız
Nurseren, Kız
Nursev, Kız
Nurseven, Kız
Nursevil, Kız
Nursevim, Kız
Nursevin, Kız
Nursine, Kız
Nurşen, Kız
Nurtek, Kız
Nurten, Kız
Nurveren, Kız
Nurzen, Kız
Nurzer, Kız
Nükhet, Kız
Örengül, Kız
Örfiye, Kız
Örge, Kız
Öşme, Kız
Ötleğen, Kız
Özengül, Kız
Özenir, Kız
Özenli, Kız
Özgünel, Kız
Özgüney, Kız
Özipek, Kız
Özlem, Kız
Özlenen, Kız
Özleyiş, Kız
Özten, Kız
Pek, Kız
Peköz, Kız
Peksu, Kız
Pekşen, Kız
Pelin, Kız
Pelit, Kız
Peren, Kız
Peri, Kız
Perinur, Kız
Periru, Kız
Periveş, Kız
Perize, Kız
Permun, Kız
Peruze, Kız
Perver, Kız
Pervin, Kız
Perviz, Kız
Pesen, Kız
Pesent, Kız
Petek, Kız
Peyker, Kız
Piruze, Kız
Prenses, Kız
Püren, Kız
Pürfer, Kız
Pürşen, Kız
Refihe, Kız
Refiye, Kız
Rekine, Kız
Remziye, Kız
Rengin, Kız
Resmigül, Kız
Resmiye, Kız
Rıfkıye, Kız
Ruhişen, Kız
Ruhiye, Kız
Ruhsen, Kız
Ruhşen, Kız
Rukiye, Kız
Ruziye, Kız
Rüştiye, Kız
Seher, Kız
Sehergül, Kız
Sekine, Kız
Sel, Kız
Selışıl, Kız
Selışın, Kız
Selime, Kız
Selin, Kız
Selmin, Kız
Selnur, Kız
Selvet, Kız
Semen, Kız
Semin, Kız
Semine, Kız
Semire, Kız
Semiye, Kız
Senem, Kız
Sengül, Kız
Sengün, Kız
Seniye, Kız
Sennur, Kız
Serengül, Kız
Sergül, Kız
Sergün, Kız
Seringül, Kız
Sermelek, Kız
Sermin, Kız
Sernur, Kız
Serpil, Kız
Serpin, Kız
Sevengül, Kız
Sevengün, Kız
Sevgi, Kız
Sevgili, Kız
Sevgim, Kız
Sevginur, Kız
Sevgisun, Kız
Sevgül, Kız
Sevi, Kız
Sevil, Kız
Sevilen, Kız
Sevilsen, Kız
Sevim, Kız
Sevimgül, Kız
Sevnur, Kız
Sevsen, Kız
Sevsevil, Kız
Seyfiye, Kız
Seylâp, Kız
Sezel, Kız
Sırriye, Kız
Sıtkıye, Kız
Simge, Kız
Simten, Kız
Simüzer, Kız
Sine, Kız
Sinem, Kız
Siren, Kız
Sonel, Kız
Sonsen, Kız
Sonten, Kız
Sonver, Kız
Sulhiye, Kız
Suphiye, Kız
Süheylâ, Kız
Sümeyre, Kız
Sürmeli, Kız
Süsen, Kız
Şehime, Kız
Şehper, Kız
Şehriyâr, Kız
Şehriye, Kız
Şeker, Kız
Şekime, Kız
Şekûre, Kız
Şelâle, Kız
Şemime, Kız
Şeminur, Kız
Şemsifer, Kız
Şemsiye, Kız
Şengönül, Kız
Şennur, Kız
Şenöz, Kız
Şensu, Kız
Şenyer, Kız
Şenyıl, Kız
Şenyüz, Kız
Şerefnur, Kız
Şeremet, Kız
Şerife, Kız
Şermin, Kız
Şevkinur, Kız
Şevkiye, Kız
Şive, Kız
Şivekâr, Kız
Şöhret, Kız
Şule, Kız
Şükriye, Kız
Şükûfe, Kız
Tekgül, Kız
Tekmile, Kız
Teknur, Kız
Telmize, Kız
Telvin, Kız
Temenni, Kız
Temime, Kız
Temre, Kız
Tenigül, Kız
Tennur, Kız
Tennure, Kız
Terken, Kız
Teşrife, Kız
Tezgül, Kız
Tijen, Kız
Tülen, Kız
Türkine, Kız
Türkiye, Kız
Tüzenur, Kız
Uğurser, Kız
Ulufer, Kız
Ulviye, Kız
Umnise, Kız
Ülke, Kız
Ülkem, Kız
Ülkenur, Kız
Ülküye, Kız
Ümmiye, Kız
Ümniye, Kız
Ünsel, Kız
Ünsiye, Kız
Ünzile, Kız
Ürmegül, Kız
Ürpek, Kız
Ürper, Kız
Veliye, Kız
Venüs, Kız
Yegâh, Kız
Yegâne, Kız
Yeliz, Kız
Yenigül, Kız
Yepelek, Kız
Yeşim, Kız
Yeterkız, Kız
Yılşen, Kız
Yipek, Kız
Yurtsevil, Kız
Yurtsevin, Kız
Yükselen, Kız
Yümniye, Kız
Zekâvet, Kız
Zekire, Kız
Zekiye, Kız
Zemzem, Kız
Zennur, Kız
Zergûn, Kız
Zerrin, Kız
Zerrinkâr, Kız
Zerrişte, Kız
Zeynep, Kız
Zeyniye, Kız
Zeyno, Kız
Zihniye, Kız
Zinet, Kız
Zinnure, Kız
Ziynet, Kız
Ziyneti, Kız
Zühre, Kız
Zühtiye, Kız
Zülfiye, Kız
Zülfüye, Kız
Fikir, Kız
Filiz, Kız
Ful, Kız
Füsun, Kız
Füsunkâr, Kız
Lütuf, Kız
Lütufkâr, Kız
Tıflıgül, Kız
Gök, Kız
Göknil, Kız
Gönül, Kız
Gül, Kız
Gülân, Kız
Gülgönül, Kız
Gülgûn, Kız
Gülgün, Kız
Gülhiz, Kız
Gülhuri, Kız
Güliz, Kız
Gülkız, Kız
Güllü, Kız
Gülmüş, Kız
Gülnur, Kız
Gülnuş, Kız
Gülöz, Kız
Gülriz, Kız
Gülru, Kız
Gülruh, Kız
Gülsim, Kız
Gülsimin, Kız
Gülsu, Kız
Gülsüm, Kız
Gülsün, Kız
Gültop, Kız
Gülüm, Kız
Gülüstü, Kız
Gülüş, Kız
Gülyüz, Kız
Güngül, Kız
Günsili, Kız
Günsu, Kız
Güz, Kız
Güzin, Kız
Güzingül, Kız
Hoşnigâr, Kız
Hürgül, Kız
Hüsnügül, Kız
Irısgül, Kız
İlgül, Kız
İlkgül, Kız
İrgün, Kız
İsmigül, Kız
İzgül, Kız
İzgün, Kız
Kutgün, Kız
Lâlgûn, Kız
Morgül, Kız
Müjgân, Kız
Nigâr, Kız
Nilgûn, Kız
Nilgün, Kız
Nurgök, Kız
Nurgül, Kız
Nurgün, Kız
Nurnigâr, Kız
Ogül, Kız
Ongu, Kız
Orgül, Kız
Övgül, Kız
Övgün, Kız
Özgül, Kız
Özgülüm, Kız
Ruhugül, Kız
Songül, Kız
Tüngür, Kız
Ülgür, Kız
Yılgül, Kız
Yılgün, Kız
Kuğu, Kız
Hâlinur, Kız
Hilâl, Kız
Hoşnur, Kız
Hoşnut, Kız
Hoşsun, Kız
Huri, Kız
Hürmüz, Kız
Hüsnühâl, Kız
Hüsün, Kız
Mihrinur, Kız
Mirrih, Kız
Nurhilâl, Kız
Ruhinur, Kız
Ruhunur, Kız
Irıs, Kız
Işıl, Kız
Işım, Kız
Işıt, Kız
Itır, Kız
İlkışık, Kız
Mısır, Kız
Nurışık, Kız
Pırıl, Kız
Pırıltı, Kız
Sıylıkız, Kız
Âtik, Kız
İklil, Kız
İlknur, Kız
İris, Kız
İslim, Kız
İslimî, Kız
İsminur, Kız
Limon, Kız
Mir, Kız
Mirnur, Kız
Misli, Kız
Nil, Kız
Nili, Kız
Nilsu, Kız
Nuriş, Kız
Nursim, Kız
Nuşin, Kız
Öziş, Kız
Öznil, Kız
Sili, Kız
Sim, Kız
Simin, Kız
Simruy, Kız
Sitti, Kız
Şiir, Kız
Şirin, Kız
Tomris, Kız
Tuti, Kız
Tülin, Kız
Oylum, Kız
Somnur, Kız
Sonnur, Kız
Sonol, Kız
Ömürlü, Kız
Önnur, Kız
Öykü, Kız
Öz, Kız
Pullu, Kız
Pütün, Kız
Kumru, Kız
Kurtuluş, Kız
Nurlu, Kız
Nursu, Kız
Nursun, Kız
Sumru, Kız
Türkân, Kız
Türknur, Kız
Türkü, Kız
Yâr, Kız
Zümrüt, Kız
Kukus, Kız
Sunu, Kız
Sükûn, Kız
Sükût, Kız
Sülün, Kız
Süslü, Kız
Usun, Kız
Kutun, Kız
Tülün, Kız
Tün, Kız
Zülâl, Kız
Yumuk, Kız
Lülü, Kız
Ülkü, Kız
Ülküm, Kız
